passenger_id,trajectory_type,trajectory_time,trajectory_platform
162313,Exit,23400,113_1_1
3711,Arrival,21960,101_1_0
3711,Boarding,21960,101_1_0
3711,Transfer,22680,105_3_0
3711,Boarding,23010,105_3_0
3711,Exit,23430,303_3_0
110681,Arrival,22830,210_2_0
110681,Boarding,22830,210_2_0
110681,Exit,23430,214_2_0
36860,Arrival,22740,111_1_0
36860,Boarding,22740,111_1_0
36860,Transfer,22980,113_2_0
36860,Boarding,23130,113_2_0
36860,Exit,23430,214_2_0
43634,Arrival,23130,113_2_0
43634,Boarding,23130,113_2_0
43634,Exit,23430,214_2_0
61899,Arrival,22530,122_1_1
61899,Boarding,22530,122_1_1
61899,Exit,23430,116_1_1
35145,Arrival,21960,111_1_0
35145,Boarding,21960,111_1_0
35145,Exit,23460,122_1_0
35146,Arrival,21960,111_1_0
35146,Boarding,21960,111_1_0
35146,Exit,23460,122_1_0
41932,Arrival,22200,113_1_0
41932,Boarding,22200,113_1_0
41932,Exit,23460,122_1_0
123760,Arrival,22500,214_2_1
123760,Boarding,22500,214_2_1
123760,Exit,23460,208_2_1
110347,Arrival,23100,210_2_1
110347,Boarding,23100,210_2_1
110347,Exit,23460,208_2_1
395,Arrival,22350,101_1_0
395,Boarding,22350,101_1_0
395,Exit,23490,108_1_0
205620,Arrival,22260,918_4_1
205620,Boarding,22260,918_4_1
205620,Transfer,22560,305_3_0
205620,Boarding,22770,305_3_0
205620,Exit,23490,310_3_0
199012,Arrival,22080,913_4_0
199012,Boarding,22080,913_4_0
199012,Transfer,22560,305_3_0
199012,Boarding,22770,305_3_0
199012,Exit,23490,310_3_0
199013,Arrival,22080,913_4_0
199013,Boarding,22080,913_4_0
