train_id,timestamp,train_load_type,train_load,platform_id
4_1_15,27060,Arrival,300,918_4_1
2_1_17,27060,Departure,198,208_2_1
4_1_17,27060,Departure,146,926_4_1
2_1_21,27060,Departure,29,219_2_1
1_0_27,27060,Departure,38,103_1_0
3_1_13,27060,Arrival,197,305_3_1
3_0_18,27090,Departure,136,310_3_0
2_1_18,27090,Arrival,104,210_2_1
3_0_16,27090,Departure,188,316_3_0
1_0_22,27090,Departure,54,108_1_0
1_0_14,27090,Departure,155,128_1_0
1_1_14,27090,Departure,138,101_1_1
1_1_18,27090,Arrival,236,111_1_1
2_1_20,27090,Arrival,27,216_2_1
3_1_14,27090,Arrival,124,208_3_1
4_1_15,27120,Departure,372,918_4_1
4_1_16,27120,Arrival,183,922_4_1
4_0_15,27120,Arrival,233,918_4_0
1_1_17,27120,Arrival,280,108_1_1
4_0_14,27120,Departure,352,922_4_0
2_0_17,27120,Arrival,112,113_2_0
3_1_13,27120,Departure,168,305_3_1
1_1_27,27120,Arrival,38,125_1_1
1_0_25,27120,Departure,65,105_1_0
1_1_15,27120,Arrival,181,103_1_1
2_1_19,27120,Arrival,197,213_2_1
3_1_14,27150,Departure,196,208_3_1
1_1_24,27150,Arrival,57,122_1_1
2_0_20,27150,Arrival,27,204_2_0
1_0_30,27150,Departure,17,101_1_0
2_1_20,27150,Departure,90,216_2_1
1_0_28,27150,Arrival,36,103_1_0
1_1_18,27150,Departure,238,111_1_1
1_1_16,27150,Arrival,154,105_1_1
1_1_30,27150,Departure,17,128_1_1
2_1_18,27150,Departure,144,210_2_1
1_1_15,27180,Departure,195,103_1_1
4_0_15,27180,Departure,216,918_4_0
2_0_17,27180,Departure,217,113_2_0
1_1_17,27180,Departure,160,108_1_1
1_0_21,27180,Arrival,308,110_1_0
1_0_19,27180,Arrival,265,116_1_0
4_1_17,27180,Arrival,146,925_4_1
1_0_23,27180,Arrival,43,108_1_0
1_1_27,27180,Departure,59,125_1_1
3_0_19,27180,Arrival,187,208_3_0
2_1_19,27180,Departure,287,213_2_1
1_1_21,27180,Arrival,99,119_1_1
4_1_16,27180,Departure,194,922_4_1
4_0_13,27180,Arrival,350,926_4_0
1_1_16,27210,Departure,145,105_1_1
1_0_28,27210,Departure,41,103_1_0
1_1_18,27210,Arrival,238,110_1_1
1_0_20,27210,Arrival,171,113_1_0
3_0_12,27210,Arrival,165,329_3_0
1_1_24,27210,Departure,85,122_1_1
2_0_20,27210,Departure,127,204_2_0
3_0_20,27210,Arrival,57,305_3_0
1_0_18,27210,Arrival,228,119_1_0
2_1_16,27210,Arrival,226,204_2_1
1_0_26,27210,Arrival,75,105_1_0
3_1_12,27210,Arrival,229,105_3_1
4_1_16,27240,Arrival,194,921_4_1
1_1_21,27240,Departure,167,119_1_1
1_0_19,27240,Departure,225,116_1_0
4_0_18,27240,Departure,61,909_4_0
3_1_17,27240,Arrival,110,316_3_1
1_0_21,27240,Departure,377,110_1_0
2_0_17,27240,Arrival,217,213_2_0
4_0_15,27240,Arrival,216,919_4_0
3_0_19,27240,Departure,150,208_3_0
3_1_15,27240,Arrival,73,310_3_1
1_1_19,27240,Arrival,133,113_1_1
