event_id,line_id,direction_id,train_id,station_id,platform_id,event_timestamp,event_type
433,1,0,1_0_19,101,101_1_0,25020,Arrival
434,1,0,1_0_19,101,101_1_0,25080,Departure
435,1,0,1_0_19,103,103_1_0,25380,Arrival
436,1,0,1_0_19,103,103_1_0,25440,Departure
437,1,0,1_0_19,105,105_1_0,25740,Arrival
438,1,0,1_0_19,105,105_1_0,25800,Departure
439,1,0,1_0_19,108,108_1_0,26160,Arrival
440,1,0,1_0_19,108,108_1_0,26220,Departure
441,1,0,1_0_19,110,110_1_0,26460,Arrival
442,1,0,1_0_19,110,110_1_0,26520,Departure
443,1,0,1_0_19,111,111_1_0,26580,Arrival
444,1,0,1_0_19,111,111_1_0,26640,Departure
445,1,0,1_0_19,113,113_1_0,26820,Arrival
446,1,0,1_0_19,113,113_1_0,26880,Departure
447,1,0,1_0_19,116,116_1_0,27180,Arrival
448,1,0,1_0_19,116,116_1_0,27240,Departure
449,1,0,1_0_19,119,119_1_0,27600,Arrival
450,1,0,1_0_19,119,119_1_0,27660,Departure
451,1,0,1_0_19,122,122_1_0,28080,Arrival
452,1,0,1_0_19,122,122_1_0,28140,Departure
453,1,0,1_0_19,125,125_1_0,28560,Arrival
454,1,0,1_0_19,125,125_1_0,28620,Departure
455,1,0,1_0_19,128,128_1_0,28980,Arrival
456,1,0,1_0_19,128,128_1_0,29040,Departure
457,1,0,1_0_20,101,101_1_0,25410,Arrival
458,1,0,1_0_20,101,101_1_0,25470,Departure
459,1,0,1_0_20,103,103_1_0,25770,Arrival
460,1,0,1_0_20,103,103_1_0,25830,Departure
461,1,0,1_0_20,105,105_1_0,26130,Arrival
462,1,0,1_0_20,105,105_1_0,26190,Departure
463,1,0,1_0_20,108,108_1_0,26550,Arrival
464,1,0,1_0_20,108,108_1_0,26610,Departure
465,1,0,1_0_20,110,110_1_0,26850,Arrival
466,1,0,1_0_20,110,110_1_0,26910,Departure
467,1,0,1_0_20,111,111_1_0,26970,Arrival
468,1,0,1_0_20,111,111_1_0,27030,Departure
469,1,0,1_0_20,113,113_1_0,27210,Arrival
470,1,0,1_0_20,113,113_1_0,27270,Departure
471,1,0,1_0_20,116,116_1_0,27570,Arrival
472,1,0,1_0_20,116,116_1_0,27630,Departure
473,1,0,1_0_20,119,119_1_0,27990,Arrival
474,1,0,1_0_20,119,119_1_0,28050,Departure
475,1,0,1_0_20,122,122_1_0,28470,Arrival
476,1,0,1_0_20,122,122_1_0,28530,Departure
477,1,0,1_0_20,125,125_1_0,28950,Arrival
478,1,0,1_0_20,125,125_1_0,29010,Departure
479,1,0,1_0_20,128,128_1_0,29370,Arrival
480,1,0,1_0_20,128,128_1_0,29430,Departure
481,1,0,1_0_21,101,101_1_0,25740,Arrival
482,1,0,1_0_21,101,101_1_0,25800,Departure
483,1,0,1_0_21,103,103_1_0,26100,Arrival
484,1,0,1_0_21,103,103_1_0,26160,Departure
485,1,0,1_0_21,105,105_1_0,26460,Arrival
486,1,0,1_0_21,105,105_1_0,26520,Departure
487,1,0,1_0_21,108,108_1_0,26880,Arrival
488,1,0,1_0_21,108,108_1_0,26940,Departure
489,1,0,1_0_21,110,110_1_0,27180,Arrival
490,1,0,1_0_21,110,110_1_0,27240,Departure
491,1,0,1_0_21,111,111_1_0,27300,Arrival
492,1,0,1_0_21,111,111_1_0,27360,Departure
493,1,0,1_0_21,113,113_1_0,27540,Arrival
494,1,0,1_0_21,113,113_1_0,27600,Departure
495,1,0,1_0_21,116,116_1_0,27900,Arrival
496,1,0,1_0_21,116,116_1_0,27960,Departure
497,1,0,1_0_21,119,119_1_0,28320,Arrival
498,1,0,1_0_21,119,119_1_0,28380,Departure
499,1,0,1_0_21,122,122_1_0,28800,Arrival
500,1,0,1_0_21,122,122_1_0,28860,Departure
501,1,0,1_0_21,125,125_1_0,29280,Arrival
502,1,0,1_0_21,125,125_1_0,29340,Departure
